NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,numbering_guide,location
2,UA6G-50-710B,GRILLE OEM.,Ford,EVEREST,UA6G-50-710B,1,2.75881805,3.294810058,0.057838723,2006,2007,,,,,
1,UF6A-51-0L0,"UNIT(L),HEAD LAMP",Ford,EVEREST,UF6A-51-0L0,1,13.0855304,6.325124205,0.991041856,2011,2014,,,,,
,UF6A-51-0K0,"UNIT(R),HEAD LAMP",Ford,EVEREST,UF6A-51-0K0,1,17.16084572,12.02003931,0.358108264,2011,2014,,,,,
2,UK8K-51-0L0,HEAD LAMP ASSY LH,Ford,EVEREST,UK8K-51-0L0,1,0.66642135,0.981280405,0.080954461,2012,2015,,,,,
,UK8K-51-0K0,HEAD LAMP ASSY RH,Ford,EVEREST,UK8K-51-0K0,1,0.814347378,1.036833218,0.091000654,2012,2015,,,,,
3,UF0M-50-C21B,"COVER(LH), FOG LAMP",Ford,EVEREST,UF0M-50-C21B,1,18.09140014,6.583202452,2.361210592,2011,2014,,,,,
,UF0M-50-C11B,"COVER(RH), FOG LAMP",Ford,EVEREST,UF0M-50-C11B,1,1.512629128,6.051580537,0.418231099,2011,2014,,,,,
4,UP21-51-250A,"LAMP(L),BACK UP",Ford,EVEREST,UP21-51-250A,1,13.17289012,1.05009364,0.150588287,2011,2014,,,,,
,UP21-51-240A,"LAMP(R),BACK UP",Ford,EVEREST,UP21-51-240A,1,3.080738824,6.812256512,0.128594062,2011,2014,,,,,
5,UF0L-51-580B,STOP LAMP (HMSL - S*,Ford,EVEREST,UF0L-51-580B,1,13.79457507,4.549009454,0.345025923,2011,2014,,,,,
6,UF0L-51-160A,"LAMP(L),RR COMB. *",Ford,EVEREST,UF0L-51-160A,1,1.206136541,17.45784262,0.393353108,2011,2014,,,,,
,UF0L-51-150A,"LAMP(R),RR COMB. *",Ford,EVEREST,UF0L-51-150A,1,6.97455428,9.175010899,0.763206045,2011,2014,,,,,
7,UF6A-69-180,"MIRROR(L),DOOR",Ford,EVEREST,UF6A-69-180,1,2.257653623,5.139201038,0.312532935,2011,2014,,,,,
,UF6A-69-120,MIRROR REAR VIEW RH,Ford,EVEREST,UF6A-69-120,1,10.92925883,12.18905669,1.239677282,2011,2014,,,,,
8,UF6B-69-180A,SIDE MIRROR ASSY LH,Ford,EVEREST,UF6B-69-180A,1,1.043723952,2.01493998,0.015242723,2014,2014,,,,,
,UF6B-69-120,MIRROR REAR VIEW RH,Ford,EVEREST,UF6B-69-120,1,4.205741419,1.976695091,0.888719001,2011,2014,,,,,
9,UE4T-56-141,GUARD ASSY MUD LH,Ford,EVEREST,UE4T-56-141,1,2.66358916,13.95756639,2.913936061,2011,2014,,,,,
,UE4T-56-131,GUARD ASSY MUD RH,Ford,EVEREST,UE4T-56-131,1,6.785941859,22.27617285,0.448407788,2011,2014,,,,,
10,UF0L-62-020,DOOR ASSY LIFTGATE,Ford,EVEREST,UF0L-62-020,1,12.22325453,1.443030192,0.407144507,2011,2014,,,,,
11,UR61-38-812A,ENGIND UNDDER COVER,Ford,EVEREST,UR61-38-812A,1,1.445461023,24.24125801,0.142820615,2011,2014,,,,,
12,UB2C-61-480D,CONDENSER ASSY,Ford,EVEREST,UB2C-61-480D,1,4.961020521,4.019301619,0.131056794,2011,2014,,,,,
13,WL81-15-350D,RADIATOR RESERVE TANK,Ford,EVEREST,WL81-15-350D,1,0.703482328,0.852887709,0.741184694,2011,2014,,,,,
14,UR56-67-480A,"TANK,WASHER-FRONT",Ford,EVEREST,UR56-67-480A,1,2.157451354,12.59597915,1.293610017,2011,2014,,,,,
15,UFY1-50-241,"BUMPER(L),REAR *",Ford,EVEREST,UFY1-50-241,1,5.58406282,8.737040938,0.946163702,2011,2014,,,,,
,UFY1-50-231,"BUMPER(R),REAR *",Ford,EVEREST,UFY1-50-231,1,9.246376948,12.29041261,1.160029512,2011,2014,,,,,
1,US87-50-790A,RH COWL TOP LOUVER RHD,Ford,EVEREST,UR87-50-790A,1,7.213384502,1.07639954,0.395277187,2011,2014,,,,,
2,US16-50-790A,GRILLE COWL TOP LHD,Ford,EVEREST,US16-50-790A,1,6.518497895,9.224097658,0.35757282,2011,2014,,,,,
3,UA6G-51-W50C92 A,"FENDER(R),OVER-RR",Ford,EVEREST,UA6G-51-W50C92,1,11.86345493,2.264435245,0.689667134,2011,2014,,,,,
,UA6G-51-W60C92 A,"FENDER(L),OVER-RR",Ford,EVEREST,UA6G-51-W60C92,1,0.896160906,2.270481224,0.136137262,2011,2014,,,,,
4,UE4T-51-W7036,FRONT BUMPER FLARE RH,Ford,EVEREST,UE4T-51-W70B,1,0.368446424,0.645546528,0.020274753,2010,2010,,,,,
5,UA6G-51-V20B92 A,"PLATE(L),SIDE STEP",Ford,EVEREST,UA6G-51-V20B92,1,6.687726547,7.957997696,0.249777136,2011,2014,,,,,
1,UKY1-50-03X,FRONT BUMPER,Ford,EVEREST,UKY1-50-03X,1,3.948105424,4.68793987,0.063898656,2013,2014,,,,,
1,AMEB3J17F775AA,FRONT VALANCE PANEL COVER W/SENSOR HOLE,Ford,EVEREST,AMEB3J17F775AA,1,10.82391023,7.634347274,0.893002971,2015,2015,,,,,
2,AMEB3J17A894AB,REAR VALANCE PANEL COVER,Ford,EVEREST,AMEB3J17A894AB,1,9.849445155,7.391294903,0.534856823,2015,2015,,,,,
3,EB3B17F775CA,FRONT VALANCE PANEL W/SENSOR,Ford,EVEREST,EB3B17F775CA,1,1.333734983,3.858580817,0.050482881,2015,2015,,,,,
4,EB3B-17-F775FA,LOWER FRONT BUMPER COVER,Ford,EVEREST,EB3B-17-F775FA,1,1.238866469,3.367098492,0.047800301,2016,2019,,,,,
5,EB3B17A894DBXUAA,REAR VALANCE PANEL,Ford,EVEREST,EB3B17A894DBXUAA,1,14.72813312,18.00285382,0.274431213,2015,2015,,,,,
6,EB3B-82-00ED,GRILLE OEM.,Ford,EVEREST,EB3B-82-00ED,1,5.999721497,2.538717323,0.109584149,2015,2015,,,,,
7,EB3B-13-W030GL,HEAD LAMP BK LH,Ford,EVEREST,EB3B-13-W030GL,1,3.518167376,3.458263972,0.070000471,2015,2015,,,,,
,EB3B-13-W029GL,HEAD LAMP BK RH,Ford,EVEREST,EB3B-13-W029GL,1,3.422637185,3.794659809,0.065863661,2015,2015,,,,,
8,EB3B-16-E061BE,HOOD LEDGE,Ford,EVEREST,EB3B-16-E061BE,1,7.803414152,8.007964172,0.396486952,2016,2016,,,,,
9,EB3B-17-B613BD,WINDSHIELD WASHER TANK,Ford,EVEREST,EB3B-17-B613BD,1,22.1941099,15.16764982,0.141453288,2016,2016,,,,,
10,EB3B-8C-333AC,AIR DEFLECTOR LOWER,Ford,EVEREST,EB3Z-83-27C,1,1.074343098,1.002318868,0.056463669,2016,2017,,,,,
1,FDB213 LA,FRONT BUMPER LOWER XLT INF PAT,Ford,EXPEDITION,7L1Z-17D957AA,1,11.1796759,18.93965224,0.055128644,2007,2014,,,,,
