NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR
4.0,EB3B-17-F775FA,LOWER FRONT BUMPER COVER,Ford,EVEREST,EB3B-17-F775FA,1,1.2388664687418234,3.367098491515746,0.0478003010098764,2016,2019
5.0,EB3B17A894DBXUAA,REAR VALANCE PANEL,Ford,EVEREST,EB3B17A894DBXUAA,1,14.72813312465458,18.00285382064247,0.2744312133517324,2015,2015
6.0,EB3B-82-00ED,GRILLE OEM.,Ford,EVEREST,EB3B-82-00ED,1,5.999721496526885,2.538717323298966,0.1095841491826973,2015,2015
7.0,EB3B-13-W030GL,HEAD LAMP BK LH,Ford,EVEREST,EB3B-13-W030GL,1,3.5181673764438885,3.4582639719502515,0.0700004708498796,2015,2015
,EB3B-13-W029GL,HEAD LAMP BK RH,Ford,EVEREST,EB3B-13-W029GL,1,3.4226371847715544,3.7946598091417454,0.0658636614737093,2015,2015
8.0,EB3B-16-E061BE,HOOD LEDGE,Ford,EVEREST,EB3B-16-E061BE,1,7.8034141522173615,8.007964171972285,0.3964869515169433,2016,2016
9.0,EB3B-17-B613BD,WINDSHIELD WASHER TANK,Ford,EVEREST,EB3B-17-B613BD,1,22.19410990249501,15.167649822120008,0.1414532878220915,2016,2016
10.0,EB3B-8C-333AC,AIR DEFLECTOR LOWER,Ford,EVEREST,EB3Z-83-27C,1,1.0743430976198023,1.0023188676521475,0.0564636685906574,2016,2017
1.0,FDB213 LA,FRONT BUMPER LOWER XLT INF PAT,Ford,EXPEDITION,7L1Z-17D957AA,1,11.179675904007391,18.939652238017704,0.0551286438583771,2007,2014
2.0,FDG213 NA,GRILLE FULL CHROME,Ford,EXPEDITION,7L1Z-8200BA,1,1.9512189551296335,1.6389549920725006,0.081866678190833,2007,2014
1.0,FDP215 UA,FRONT BUMPER UPPER W/O FLARE HOLE,Ford,EXPEDITION,FL1Z-17D957-APTM,1,1.6347740512756737,2.662832155867348,0.8515329492927377,2015,2017
2.0,FDP215 UB,FRONT BUMPER UPPER W/ FLARE HOLE,Ford,EXPEDITION,FL1Z-17D957-BPTM,1,18.638338304630533,14.875013796531205,0.2941704926336118,2015,2017
3.0,FDB215 LA,FRONT BUMPER LOWER,Ford,EXPEDITION,FL1Z-17D957-AA,1,4.8742554179063164,20.176993533496503,0.1592917682240647,2015,2017
4.0,FDB217 UA,FRONT BUMPER UPPER SQUARE,Ford,EXPEDITION,FL1Z-17D957-EPTM,1,5.056171154733001,23.48913183626992,0.7927819869145766,2015,2017
5.0,FDB215 UC,FRONT BUMPER LOWER W SENSOR HOLE,Ford,EXPEDITION,FL1Z-17D957-CA,1,4.224367720786453,0.094056678738669,0.6388862273813682,2015,2017
